-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.429ms         5.98%      14.429ms      60.120us           0 B           0 B           0 B           0 B           240            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.267ms         5.50%      13.267ms     331.681us           0 B           0 B           0 B           0 B            40            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.220ms         5.48%      13.220ms     330.492us           0 B           0 B           0 B           0 B            40            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      12.789ms         5.30%      12.789ms      79.930us           0 B           0 B           0 B           0 B           160            --  
void flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      12.599ms         5.22%      12.599ms     314.984us           0 B           0 B           0 B           0 B            40            --  
         ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us      12.245ms         5.07%      12.245ms      76.532us           0 B           0 B           0 B           0 B           160            --  
                                          aten::dropout         0.07%     319.626us         0.92%       4.498ms      49.978us       0.000us         0.00%      11.043ms     122.699us           0 B           0 B       4.92 GB           0 B            90            --  
                                   aten::native_dropout         0.37%       1.833ms         0.85%       4.178ms      46.427us      11.043ms         4.58%      11.043ms     122.699us           0 B           0 B       4.92 GB           0 B            90            --  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      11.043ms         4.58%      11.043ms     122.699us           0 B           0 B           0 B           0 B            90            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      10.899ms         4.52%      10.899ms     272.466us           0 B           0 B           0 B           0 B            40            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.30%       1.447ms         1.46%       7.174ms      79.709us       0.000us         0.00%      10.424ms     115.824us           0 B           0 B      -1.02 GB      -4.30 GB            90            --  
                                 NativeDropoutBackward0         0.12%     567.936us         1.17%       5.727ms      63.637us       0.000us         0.00%      10.424ms     115.824us           0 B           0 B       3.28 GB           0 B            90            --  
                          aten::native_dropout_backward         0.42%       2.059ms         1.05%       5.159ms      57.326us      10.424ms         4.32%      10.424ms     115.824us           0 B           0 B       3.28 GB           0 B            90            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.424ms         4.32%      10.424ms     115.824us           0 B           0 B           0 B           0 B            90            --  
    ampere_bf16_s1688gemm_bf16_128x128_ldg8_relu_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us      10.383ms         4.30%      10.383ms     259.563us           0 B           0 B           0 B           0 B            40            --  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.871ms         4.09%       9.871ms     246.770us           0 B           0 B           0 B           0 B            40            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       9.825ms         4.07%       9.825ms     245.630us           0 B           0 B           0 B           0 B            40            --  
     autograd::engine::evaluate_function: GeluBackward0         0.16%     761.835us         0.54%       2.656ms      66.395us       0.000us         0.00%       9.632ms     240.803us           0 B           0 B      -2.50 GB      -5.00 GB            40            --  
                                          GeluBackward0         0.07%     325.353us         0.39%       1.894ms      47.349us       0.000us         0.00%       9.632ms     240.803us           0 B           0 B       2.50 GB           0 B            40            --  
                                    aten::gelu_backward         0.20%     992.472us         0.32%       1.569ms      39.215us       9.632ms         3.99%       9.632ms     240.803us           0 B           0 B       2.50 GB       2.50 GB            40            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.632ms         3.99%       9.632ms     240.803us           0 B           0 B           0 B           0 B            40            --  
                                              aten::add         0.56%       2.756ms         0.84%       4.102ms      31.551us       7.843ms         3.25%       7.843ms      60.331us           0 B           0 B       2.03 GB       2.03 GB           130         1.091  
                                       aten::layer_norm         0.06%     277.804us         0.98%       4.805ms      53.384us       0.000us         0.00%       7.624ms      84.715us           0 B           0 B       1.43 GB           0 B            90            --  
                                aten::native_layer_norm         0.46%       2.264ms         0.92%       4.527ms      50.297us       7.624ms         3.16%       7.624ms      84.715us           0 B           0 B       1.43 GB           0 B            90            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       7.624ms         3.16%       7.624ms      84.715us           0 B           0 B           0 B           0 B            90            --  
                                             aten::add_         0.60%       2.945ms         0.92%       4.497ms       6.918us       7.043ms         2.92%       7.043ms      10.835us           0 B           0 B           0 B           0 B           650            --  
                                             aten::gelu         0.14%     669.606us         0.20%     996.634us      24.916us       6.460ms         2.68%       6.460ms     161.492us           0 B           0 B       2.50 GB       2.50 GB            40            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.460ms         2.68%       6.460ms     161.492us           0 B           0 B           0 B           0 B            40            --  
                                              aten::sum         0.83%       4.087ms         1.32%       6.484ms      72.039us       6.344ms         2.63%       6.344ms      70.484us           0 B           0 B       1.35 MB       1.35 MB            90            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.278ms         2.60%       6.278ms      69.759us           0 B           0 B           0 B           0 B            90            --  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us       6.159ms         2.55%       6.159ms      68.436us           0 B           0 B           0 B           0 B            90            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 490.265ms
Self CUDA time total: 241.290ms
